id_cl,nom,prenom,telephone,email,adresse,num_a,num_b
201,Celler,Rozanne,134-254-1814,rceller0@edublogs.org,5307 Saint Paul Drive,1,1
202,Linton,Latia,530-958-3313,llinton1@liveinternet.ru,2 Sheridan Way,3,1
203,Vedmore,Verne,486-282-6663,vvedmore2@over-blog.com,76793 Sugar Point,4,1
204,Lewing,Fergus,757-848-8062,flewing3@wiley.com,23 Waubesa Way,4,1
205,De Fries,Trisha,251-258-0232,tdefries4@mlb.com,41 Barnett Parkway,4,1
206,Fittis,Karlan,822-323-0780,kfittis5@e-recht24.de,17801 Thompson Parkway,5,1
207,Witcombe,Davina,137-301-3605,dwitcombe6@creativecommons.org,54510 Iowa Alley,4,1
208,Rosten,Kessia,959-908-0113,krosten7@indiegogo.com,54 Kipling Alley,3,1
209,Whymark,Ronda,715-236-2884,rwhymark8@va.gov,7668 West Court,2,1
210,Soulsby,Bernelle,202-259-8644,bsoulsby9@istockphoto.com,8951 Calypso Hill,1,1
211,McGrady,Gerhardine,896-867-0639,gmcgradya@studiopress.com,9273 Lakeland Place,1,1
212,Scare,Ardys,883-347-0154,ascareb@phoca.cz,2285 Weeping Birch Point,1,1
213,Quade,Antoinette,122-689-6427,aquadec@xing.com,8527 Banding Lane,1,1
214,Blasius,Alaster,365-958-7944,ablasiusd@dropbox.com,9 American Circle,1,1
215,Stanluck,Donielle,814-382-9571,dstanlucke@usatoday.com,901 High Crossing Plaza,5,1
216,Fomichkin,Cissy,593-215-3661,cfomichkinf@statcounter.com,8 Bultman Pass,2,1
217,Sictornes,Morgan,325-994-1172,msictornesg@hp.com,9 Macpherson Pass,3,1
218,Taynton,Glen,418-178-8469,gtayntonh@smugmug.com,46250 Pierstorff Pass,2,1
219,Rouge,Torey,148-958-0918,trougei@shinystat.com,8 Buell Place,1,1
220,Kohnert,Katrinka,378-911-4885,kkohnertj@cisco.com,81 Upham Center,1,1
221,Ayliffe,Abner,927-108-4892,aayliffek@marketwatch.com,373 Shopko Center,5,1
222,Blackie,Robbert,787-935-8233,rblackiel@youtube.com,732 Beilfuss Park,5,1
223,Perkin,Lynnett,904-570-3034,lperkinm@cpanel.net,7 Lindbergh Court,2,1
224,Kann,Peterus,942-697-7284,pkannn@sourceforge.net,7669 Bayside Place,2,1
225,Drinkeld,Madelin,183-378-5766,mdrinkeldo@drupal.org,9068 Longview Junction,2,1
226,Jelleman,Bo,797-356-9661,bjellemanp@geocities.jp,72582 Clove Parkway,5,1
227,Yegorshin,Henrik,671-127-1796,hyegorshinq@pagesperso-orange.fr,47574 Bay Parkway,3,1
228,Awin,Lenka,786-545-7849,lawinr@noaa.gov,5 Thompson Lane,1,1
229,MacAirt,Sunny,890-235-8345,smacairts@edublogs.org,5 Kropf Center,5,1
230,Pietroni,Randie,624-637-3218,rpietronit@redcross.org,38764 Eastwood Street,2,1
231,Gavagan,Diarmid,479-983-8597,dgavaganu@nyu.edu,9 Hayes Circle,3,1
232,Beaney,Jessey,681-486-8737,jbeaneyv@moonfruit.com,3 Rusk Drive,5,1
233,Beades,Crysta,133-981-5528,cbeadesw@washingtonpost.com,1 Scofield Hill,4,1
234,Rizzetti,Gustavus,385-121-7255,grizzettix@rambler.ru,527 Barby Plaza,3,1
235,Chisholm,Helen,276-231-4647,hchisholmy@4shared.com,2046 Meadow Vale Crossing,1,1
236,Spur,Ellen,882-729-1458,espurz@seattletimes.com,2291 Kinsman Trail,1,1
237,Daddow,Diann,583-559-7120,ddaddow10@mit.edu,0209 Riverside Road,3,1
238,Harbinson,Lucas,478-777-9589,lharbinson11@mac.com,44751 Burning Wood Trail,3,1
239,Bednall,Scotty,288-819-4748,sbednall12@bbb.org,44253 Hoepker Street,2,1
240,Goodreid,Duke,275-558-2751,dgoodreid13@ovh.net,1000 Burrows Circle,1,1
241,Harland,Egbert,434-227-8232,eharland14@artisteer.com,9 Daystar Trail,1,1
242,Twycross,Felecia,734-579-7011,ftwycross15@unicef.org,497 Starling Terrace,3,1
